GRIB version number,BUFR version number,CREX version number,Effective date_fr,Status
0,0,0,Version expérimentale,Operational
0,1,,1988-11-01,Operational
0,2,,1993-11-01,Operational
0,3,,1994-11-02,Operational
0,4,,1995-11-08,Operational
0,5,,1996-11-06,Operational
0,6,,1997-11-05,Operational
0,7,,1998-11-04,Operational
0,8,1,2000-05-03,Operational
0,9,,2000-11-08,Operational
1,10,2,2001-11-07,Operational
2,11,3,2003-11-05,Operational
3,12,4,2005-11-02,Operational
4,13,5,2007-11-07,Operational
5,14,6,2009-11-04,Operational
6,15,7,2010-09-15,Operational
7,16,16,2011-05-04,Operational
8,17,17,2011-11-02,Operational
9,18,18,2012-05-02,Operational
10,19,19,2012-11-07,Operational
11,20,20,2013-05-08,Operational
12,21,21,2013-11-14,Operational
13,22,22,2014-05-07,Operational
14,23,23,2014-11-05,Operational
15,24,24,2015-05-06,Operational
16,25,25,2015-11-11,Operational
17,26,26,2016-05-04,Operational
18,27,27,2016-11-02,Operational
19,28,28,2017-05-03,Operational
20,29,29,2017-11-08,Operational
21,30,30,2018-05-02,Operational
22,31,31,2018-11-07,Operational
23,32,32,2019-05-15,Operational
24,33,33,2019-11-06,Operational
25,34,34,Version en préexploitation devant entrer en vigueur avec le,Operational
26-254,35-254,35-254,Versions futures,Operational
255,255,255,Valeur manquante,Operational
